Image,Rating,Name,Price
https://lh5.googleusercontent.com/p/AF1QipOgegW79nsmZOWTWTdXQp5oEre1Ku9-osmu6b7F=w112-h112-n-k-no,5,Jagruthi convention hall,₹12000
https://lh5.googleusercontent.com/p/AF1QipNJCMgobjX6dD3qbgAB9Q9jEcZmfuqt3GW7QP2A=w112-h112-n-k-no,5,Aduvalli committee hall,₹12001
https://lh5.googleusercontent.com/p/AF1QipNcwXpk3Op8qjE-B7qRzeuV511bTkmbzXYtAUQB=w112-h112-n-k-no,5,Sambhramation Events,₹12002
https://lh5.googleusercontent.com/p/AF1QipNVokxh_gBGU3JuunHmrF055Viyz-syViX-WnTT=w112-h112-n-k-no,4.8,Sri Greens Party Hall,₹12003
https://lh5.googleusercontent.com/p/AF1QipNiaFOPnZqvrVDjXuln34GElzIXebkOxCw5wd2q=w112-h112-n-k-no,4.6,Quba Event Hall,₹12004
https://lh5.googleusercontent.com/p/AF1QipOAVBsIsrgiSRpAHsUWBVLJuzGD_JwW5SJvOsfa=w112-h112-n-k-no,4.6,MST Hall,₹12005
https://lh5.googleusercontent.com/p/AF1QipOSUvfqI9CWxuj7P_JyxvcQv2P9sV0OciSgKq5I=w112-h112-n-k-no,4.5,Jnanakshi Convention Hall,₹12006
https://lh5.googleusercontent.com/p/AF1QipPhrJZH8wp4TWuI1PFGtKWQQTa3quSjRxD9xuVi=w112-h112-n-k-no,4.5,Shri Prasanna Ganapathi Mangala Mandira,₹12007
https://lh5.googleusercontent.com/p/AF1QipNNrek46HEClwuZTt2AbLVPdEcgNmPvmpO_76z3=w112-h112-n-k-no,4.4,Gnanakshi Conventional Hall,₹12008
https://lh5.googleusercontent.com/p/AF1QipOmCA-T5-aFo5sU28x96yqqDcdwaaXN8nZbbFzb=w112-h112-n-k-no,4.4,Neelakanteshwara samudaya bhavana,₹12009
https://lh5.googleusercontent.com/p/AF1QipNIkUkakCibR9i9yWvxsLR34_SpHxM6BCye8LMd=w112-h112-n-k-no,4.4,Jnanakshi Kalyana Mantapa,₹12010
https://lh5.googleusercontent.com/p/AF1QipMbj_yCjY-4-VpFavQnhQewqgdgcIIZ0mG-g4j2=w112-h112-n-k-no,4.4,V R Shetty Complex,₹12011
https://lh5.googleusercontent.com/p/AF1QipMc9bONdeWGi5Z1PTa7zZSFjty7xiClYi2y65vc=w112-h112-n-k-no,4.3,RG Palace Convention Hall,₹12012
https://lh5.googleusercontent.com/p/AF1QipPCGTl3-kEnFnscmpFT8yNTudVvjLxvbZsZsyYi=w112-h112-n-k-no,4.3,Bahubali Bhavana,₹12013
https://lh5.googleusercontent.com/p/AF1QipP7UO5_RHJpTVWJCoW7QdyLN7Hi6v7YY1NU4mlL=w112-h112-n-k-no,4.3,Sri Adichunchanagiri Samudaya Bhavana,₹12014
https://lh5.googleusercontent.com/p/AF1QipP91KCp_L2udbxXmI-3HOfbo-BRB1ByEVpUYAPU=w112-h112-n-k-no,4.3,HMT KALYANA MANTAPA,₹12015
https://www.google.com/maps/vt/data=4y7qhvR-1Z0Psqi9vAeV4RvfhETYQuUq76RkS71R_jxYVDFztEnQNr0j14Co4mul8pZnYoSJBtfAMr6JLr1rRJc2Go1jJTkBUbO2ERpHe7NJcPNbc3YyF6M0rRl5RyOlbD6OL7A3DahV_RrfHwfn9hIORQ,4.3,K.M.F Kalyana Mantapa,₹12016
https://lh5.googleusercontent.com/p/AF1QipOpAVSkLYsvbz_pwSPH1bVwf5jkFpEfC6dzL8L9=w112-h112-n-k-no,4.3,Shri Annapoorneshwari Kalyana Mantapa ಶ್ರೀ ಅನ್ನಪೂರ್ಣೇಶ್ವರಿ ಕಲ್ಯಾಣ ಮಂಟಪ,₹12017
https://lh5.googleusercontent.com/p/AF1QipOek1UA9PuI-pNCQ3U8b_tdKNylMh1RLFg6_4kI=w112-h112-n-k-no,4.3,Sadhana Conventional Hall,₹12018
https://www.google.com/maps/vt/data=WHbUMDUii8iHLIH4_m8VofCVytsmXXK5vL3aiiH-YSTyelTgTJok-LYsxrDPCnTkoMmdynnPM3C8mMVsULrzeENmvNAYKuNSOruOFDNDvTqFS796EbdPBuoFZXTKDdmZY-kCyvUTsAOnwD-LHlrVfTHUEQ,4.3,Marikamba samudaya Bhavana,₹12019
https://lh5.googleusercontent.com/p/AF1QipNBhPY9SS7YMPbY7UuGVBO_PlfAn6atiin5aQEP=w112-h112-n-k-no,4.3,M K Community Hall,₹12020
https://lh5.googleusercontent.com/p/AF1QipOz3xkN8_ikYOzx1oG_WE3-qXr66ye8Yaj69GdC=w112-h112-n-k-no,4.2,Taj Convention Centre,₹12021
https://lh5.googleusercontent.com/p/AF1QipNck1KDG8tlV08tvUOfCt2AtQdABSPZbm0TNqwP=w112-h112-n-k-no,4.2,Nisarga Convention Hall,₹12022
https://lh5.googleusercontent.com/p/AF1QipOmMsXxL0QnMNLwMN2iW8K6Nlf9x5c-EZIelkIA=w112-h112-n-k-no,4.2,Pavanaputra Convention Hall,₹12023
https://lh5.googleusercontent.com/p/AF1QipMP16-14WD83gp2JYggr8dWb1_z4RZrBQnjlGV1=w112-h112-n-k-no,4.1,MK Convention Centre,₹12024
